"event","experiment time","system time","system time text"
"START",0.000000000E0,1715950667.952,"2024-05-17 14:57:47.952 UTC+02:00"
"PAUSE",9.005526850E2,1715951568.505,"2024-05-17 15:12:48.505 UTC+02:00"
