"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.224504630E-1,4.522646904E0,7.472303391E0,8.140285492E0
8.324602320E-1,4.139574528E0,6.900089264E0,7.280767441E0
8.424393860E-1,1.874659896E0,5.255272865E0,6.093243122E0
8.524492320E-1,-1.022324085E0,4.089296341E0,5.413290024E0
8.624590020E-1,-2.387019157E0,3.780444384E0,4.869806290E0
8.724381560E-1,-2.549824715E0,3.924096584E0,4.661510944E0
8.824480020E-1,-2.042253971E0,4.050989151E0,4.541800499E0
8.924577710E-1,-9.217676520E-1,3.770867586E0,4.625597477E0
9.024369250E-1,-2.106897533E-1,3.495534420E0,4.881777287E0
9.124467710E-1,-2.777273953E-1,3.232172251E0,4.630385876E0
9.224566170E-1,-1.134851575E0,2.628833532E0,3.986345768E0
9.324359250E-1,-1.898601890E0,1.831564307E0,3.241749048E0
9.424455400E-1,-1.860294700E0,1.039083481E0,2.693476915E0
9.524553870E-1,-1.383848548E0,6.991068721E-1,2.645592928E0
9.624346940E-1,-1.544260144E0,4.285621047E-1,2.578555346E0
9.724443100E-1,-2.334346771E0,2.202665508E-1,2.197877169E0
9.824541560E-1,-3.306392431E0,-7.661445439E-2,1.513135433E0
9.924332330E-1,-4.228160381E0,-4.405331016E-1,6.416460276E-1
1.002443079E0,-5.181052685E0,-8.092401624E-1,-2.106897533E-1
1.012452925E0,-8.274360657E0,-7.350199223E-1,-8.307880163E-1
1.022462694E0,-7.400477409E0,-2.090138197E0,-1.556231081E-1
1.032441848E0,-9.507374763E0,-2.545036316E0,-9.121908545E-1
1.042451694E0,-1.046266174E1,-2.114080191E0,-2.202665508E-1
1.052461464E0,-1.053688145E1,-2.176329374E0,9.576806426E-2
1.062440618E0,-1.105402946E1,-2.743755102E0,-6.440402865E-1
1.072450464E0,-1.067813969E1,-3.859453201E0,-8.283938169E-1
1.082460233E0,-9.373299599E0,-5.619191170E0,-1.127668977E0
1.092439387E0,-1.022324085E1,-6.272808552E0,-1.704671621E0
1.102449233E0,-1.185369301E1,-6.399701118E0,-1.414973259E0
1.112459002E0,-1.309388924E1,-6.739677906E0,-1.814804912E0
1.122438156E0,-1.343386555E1,-7.261613846E0,-2.422932148E0
1.132448002E0,-1.312980175E1,-7.618350029E0,-2.935291290E0
1.142457772E0,-1.310585976E1,-7.754819393E0,-3.205836058E0
1.152437156E0,-1.328781986E1,-7.852981567E0,-3.371036053E0
1.162446772E0,-1.371159267E1,-7.908048153E0,-3.687070608E0
1.172456618E0,-1.450886250E1,-7.721300602E0,-3.916913986E0
1.182435926E0,-1.549287891E1,-7.429207802E0,-3.775655985E0
1.192445541E0,-1.604354477E1,-7.350199223E0,-3.651157618E0
1.202455387E0,-1.610818863E1,-6.816292286E0,-3.423708439E0
1.212434695E0,-1.637873459E1,-5.995080948E0,-3.428496838E0
1.222444310E0,-1.670913315E1,-5.236119270E0,-3.665522814E0
1.232454156E0,-1.677377701E1,-4.853046894E0,-4.031835556E0
1.242433233E0,-1.652956772E1,-4.769249916E0,-4.225766182E0
1.252443080E0,-1.605551720E1,-4.800374508E0,-4.280832767E0
1.262452926E0,-1.528697777E1,-4.702212334E0,-4.125209332E0
1.272462695E0,-1.432211494E1,-4.592078686E0,-3.861847401E0
1.282441849E0,-1.336443424E1,-4.580107689E0,-3.459621429E0
1.292451695E0,-1.247857952E1,-4.702212334E0,-2.961627483E0
1.302461464E0,-1.137245846E1,-4.965574265E0,-2.650381327E0
1.312440618E0,-1.049618053E1,-5.023035049E0,-2.549824715E0
1.322450464E0,-9.837775230E0,-4.996698856E0,-2.394201756E0
1.332460234E0,-9.409213066E0,-5.094861031E0,-2.384624958E0
1.342439387E0,-9.143456459E0,-5.264849663E0,-2.449268341E0
1.352449234E0,-9.131484985E0,-5.521028996E0,-2.535459518E0
1.362459003E0,-9.404424667E0,-5.829881191E0,-2.616862535E0
1.372438157E0,-9.739612579E0,-6.081272125E0,-2.578555346E0
1.382448003E0,-9.955090523E0,-6.121973515E0,-2.671929121E0
1.392457772E0,-1.011310768E1,-6.078877926E0,-2.724601507E0
1.402437157E0,-1.028788471E1,-6.028599739E0,-2.650381327E0
1.412487695E0,-1.076433086E1,-6.165069580E0,-2.770091295E0
1.422456618E0,-1.122162342E1,-6.200982571E0,-2.985569477E0
1.432435695E0,-1.131739140E1,-5.748478413E0,-2.901772499E0
1.442445542E0,-1.132936287E1,-4.982333660E0,-2.662352324E0
1.452455388E0,-1.158793640E1,-4.098873138E0,-2.489969730E0
1.462434695E0,-1.203565216E1,-3.452438831E0,-2.705447912E0
1.472444311E0,-1.236126328E1,-2.978386879E0,-3.203441858E0
1.482454080E0,-1.242111874E1,-2.703053713E0,-3.782838583E0
1.492433234E0,-1.226788998E1,-2.616862535E0,-4.048594952E0
1.502443080E0,-1.194706631E1,-2.516305923E0,-3.801992416E0
1.512452926E0,-1.150174522E1,-2.291250944E0,-3.215412855E0
1.522462696E0,-1.137724686E1,-1.929726601E0,-2.576161146E0
1.532441849E0,-1.188002872E1,-1.939303398E0,-2.418143749E0
1.542451696E0,-1.259589481E1,-2.293645144E0,-2.545036316E0
1.552461465E0,-1.303882217E1,-2.832340717E0,-2.829946518E0
1.562440619E0,-1.325430107E1,-3.490746021E0,-3.330334663E0
1.572450465E0,-1.351526833E1,-4.252102375E0,-3.797203779E0
1.582460234E0,-1.370680428E1,-5.085284233E0,-4.086902142E0
1.592439388E0,-1.341710663E1,-5.916072369E0,-4.278438568E0
1.602449234E0,-1.281855583E1,-6.363788128E0,-4.273650169E0
1.612459004E0,-1.201889229E1,-6.485892296E0,-4.058171749E0
1.622438157E0,-1.125274754E1,-6.562506676E0,-3.883395195E0
1.632448004E0,-1.023760605E1,-6.296750546E0,-3.505111217E0
1.642457773E0,-9.457097054E0,-5.913678169E0,-3.179499865E0
1.652437157E0,-8.947132111E0,-5.705382824E0,-2.964021683E0
1.662446773E0,-8.645462036E0,-5.664681435E0,-3.047818661E0
1.672456619E0,-7.584830761E0,-5.777208805E0,-2.655169725E0
1.682435696E0,-6.452373505E0,-5.693411827E0,-2.047042370E0
1.692445542E0,-5.310339451E0,-5.566518784E0,-2.370259762E0
1.702455388E0,-5.556941986E0,-5.346252441E0,-1.563413739E0
1.712434696E0,-4.963180065E0,-5.219359875E0,-1.817199111E0
1.722444311E0,-4.055777550E0,-5.149928093E0,-2.494758129E0
1.732454081E0,-4.125209332E0,-5.645527840E0,-3.100491285E0
1.742433235E0,-3.914519787E0,-5.928043365E0,-2.868253708E0
1.752443081E0,-3.004723072E0,-5.743690014E0,-2.255337954E0
1.762452927E0,-2.176329374E0,-5.724536419E0,-1.297657371E0
1.772462696E0,-1.991975784E0,-5.930437565E0,-1.261744261E0
1.782441850E0,-1.932120800E0,-5.937620163E0,-1.575384736E0
1.792451696E0,-1.474828243E0,-5.949591160E0,-2.161964178E0
1.802461466E0,-1.304839969E0,-6.124367714E0,-2.681505919E0
1.812440619E0,-1.410184860E0,-6.256049156E0,-2.839523315E0
1.822450466E0,-1.455674648E0,-6.234501362E0,-2.952050686E0
1.832460235E0,-2.003946781E0,-6.174646378E0,-3.359065056E0
1.842439389E0,-2.600103140E0,-6.033388138E0,-4.074931145E0
1.852449235E0,-2.985569477E0,-5.820304394E0,-4.884171486E0
1.862459004E0,-3.564966440E0,-5.719748020E0,-5.458779812E0
1.872438158E0,-4.254496574E0,-5.760449409E0,-5.987898350E0
1.882448004E0,-5.044582844E0,-6.035782337E0,-6.538564682E0
1.892457773E0,-5.784391403E0,-6.344634533E0,-7.019799232E0
1.902437158E0,-6.548141479E0,-6.653486729E0,-7.465120792E0
1.912446773E0,-7.290344238E0,-7.139509678E0,-7.809885979E0
1.922456620E0,-8.018181801E0,-7.656657219E0,-8.051700592E0
1.932435927E0,-8.470685959E0,-8.049305916E0,-7.910442352E0
1.942445543E0,-8.609549522E0,-8.257601738E0,-7.551311970E0
1.952455389E0,-9.028534889E0,-8.398859978E0,-6.892906666E0
1.962434697E0,-9.504981041E0,-8.497021675E0,-6.325480938E0
1.972444312E0,-1.007719517E1,-8.609549522E0,-5.786785603E0
1.982454158E0,-1.066856289E1,-8.614337921E0,-5.214571476E0
1.992433235E0,-1.062067890E1,-8.300697327E0,-4.369418144E0
2.002443081E0,-1.000297451E1,-7.678205013E0,-3.145981073E0
2.012452928E0,-9.706093788E0,-7.445967197E0,-2.080561161E0
2.022462697E0,-9.753977776E0,-7.163451672E0,-1.565807939E0
2.032441851E0,-1.029985619E1,-7.005434036E0,-1.537077546E0
2.042451697E0,-1.082897472E1,-7.117961884E0,-1.860294700E0
2.052461466E0,-1.101572227E1,-7.479485989E0,-2.293645144E0
2.062440620E0,-1.061110210E1,-7.891288757E0,-2.322375536E0
2.072450466E0,-9.744400978E0,-8.030152321E0,-2.047042370E0
2.082460235E0,-8.860940933E0,-8.034940720E0,-1.762132406E0
2.092439389E0,-8.360552788E0,-8.271966934E0,-1.702277422E0
2.102449235E0,-8.149862289E0,-8.367734909E0,-1.604115129E0
2.112459005E0,-8.063671112E0,-8.154650688E0,-1.515529633E0
2.122438159E0,-8.137891769E0,-7.553706169E0,-1.491587639E0
2.132448005E0,-8.245630264E0,-6.639121532E0,-1.426944256E0
2.142457774E0,-8.355764389E0,-5.734113216E0,-1.268926859E0
2.152437159E0,-8.295908928E0,-4.929661274E0,-1.098938584E0
2.162446774E0,-8.130708694E0,-4.290409565E0,-8.690952063E-1
2.172456620E0,-7.747636795E0,-3.720589399E0,-7.230489254E-1
2.182435928E0,-7.357381821E0,-3.433285236E0,-8.523358107E-1
2.192445543E0,-7.084442616E0,-3.308786631E0,-1.027112484E0
2.202455313E0,-6.900089264E0,-3.301604033E0,-1.278503656E0
2.212434466E0,-6.785167694E0,-3.359065056E0,-1.505952835E0
2.222444313E0,-6.509834290E0,-3.471592426E0,-1.438915253E0
2.232454159E0,-6.057330132E0,-3.586514235E0,-1.484405041E0
2.242433236E0,-5.808333397E0,-3.801992416E0,-1.687912226E0
2.252443082E0,-5.865794182E0,-4.151545525E0,-1.975216389E0
2.262452851E0,-6.045359135E0,-4.355052948E0,-2.118868589E0
2.272462697E0,-6.279991150E0,-4.493916512E0,-2.209848166E0
2.282441851E0,-6.612784863E0,-4.639962673E0,-2.379836559E0
2.292451697E0,-7.029376030E0,-4.865017891E0,-2.604891539E0
2.302461467E0,-7.316680431E0,-5.056553841E0,-2.662352324E0
2.312440621E0,-7.714118004E0,-5.212177277E0,-2.525882721E0
2.322450467E0,-8.070854187E0,-5.341464043E0,-2.255337954E0
2.332460236E0,-8.221688271E0,-5.422866821E0,-2.006340981E0
2.342439390E0,-8.389283180E0,-5.588066578E0,-1.848323703E0
2.352449236E0,-8.748413086E0,-5.770026207E0,-1.766920805E0
2.362459005E0,-9.169792175E0,-6.145915985E0,-1.668758631E0
2.372438159E0,-9.418789864E0,-6.785167694E0,-1.673547029E0
2.382448005E0,-9.780313492E0,-7.673416615E0,-1.699883223E0
2.392457775E0,-1.013226128E1,-8.461109161E0,-1.960851192E0
2.402437159E0,-1.056800652E1,-9.330204010E0,-2.470816135E0
2.412446775E0,-1.091037750E1,-1.023760605E1,-3.083731890E0
2.422456621E0,-1.103487587E1,-1.101093388E1,-3.557783842E0
2.432435929E0,-1.089601231E1,-1.152089882E1,-3.699041605E0
2.442445544E0,-1.040998936E1,-1.171243477E1,-3.691859007E0
2.452455313E0,-9.476250648E0,-1.144428444E1,-3.339911461E0
2.462434698E0,-7.881711960E0,-1.068532181E1,-2.851494312E0
2.472444313E0,-6.576871872E0,-9.832986832E0,-1.984793186E0
2.482454083E0,-5.228936672E0,-8.360552788E0,-1.039083481E0
2.492433236E0,-4.158728123E0,-6.655880928E0,-1.915361285E-1
2.502443083E0,-3.703830004E0,-5.152322292E0,1.675941199E-1
2.512452929E0,-4.244919777E0,-4.534617901E0,4.788403213E-2
2.522462698E0,-5.123591423E0,-4.788403511E0,-3.758896589E-1
2.532441852E0,-6.253654957E0,-5.686229229E0,-1.288080573E0
2.542451698E0,-7.321468830E0,-6.914454460E0,-2.516305923E0
2.552461467E0,-8.413225174E0,-8.125920296E0,-3.651157618E0
2.562440621E0,-8.987833023E0,-9.045293808E0,-4.350264549E0
2.572450467E0,-8.710105896E0,-9.442731857E0,-4.817133904E0
2.582460237E0,-8.125920296E0,-9.799467087E0,-4.936843872E0
2.592439390E0,-7.041347027E0,-1.016099167E1,-4.778826714E0
2.602449237E0,-5.193023682E0,-1.036449909E1,-4.371812344E0
2.612459006E0,-3.177105665E0,-1.009634876E1,-4.240131378E0
2.622438160E0,-1.455674648E0,-9.368511200E0,-4.146757126E0
2.632448006E0,-3.375824392E-1,-8.439560890E0,-4.027047157E0
2.642457775E0,2.873041928E-1,-7.582436562E0,-3.948038578E0
2.652437160E0,5.339069963E-1,-6.962338448E0,-3.931279182E0
2.662446775E0,3.040636182E-1,-6.466738701E0,-4.031835556E0
2.672456621E0,-1.915361285E-1,-6.212953568E0,-3.993528366E0
2.682435929E0,-6.177040339E-1,-6.052541733E0,-3.960009575E0
2.692445545E0,-7.278373241E-1,-5.870582581E0,-3.715801001E0
2.702455391E0,-1.072602391E0,-5.796362400E0,-3.531447411E0
2.712434698E0,-1.687912226E0,-5.758055210E0,-3.411737442E0
2.722444314E0,-2.188300371E0,-5.738901615E0,-3.320757866E0
2.732454160E0,-2.461239338E0,-5.710171223E0,-3.222595453E0
2.742433237E0,-2.772485495E0,-5.741295815E0,-2.935291290E0
2.752443083E0,-3.229778051E0,-5.822698593E0,-2.533065319E0
2.762452929E0,-3.773261786E0,-5.913678169E0,-2.001552582E0
2.772462699E0,-4.276044369E0,-6.100425720E0,-1.546654344E0
2.782441852E0,-4.915296078E0,-6.428431511E0,-1.118092179E0
2.792451699E0,-5.583278179E0,-6.888118267E0,-9.433154464E-1
2.802461468E0,-6.248866558E0,-7.285555840E0,-8.523358107E-1
2.812440622E0,-6.770802498E0,-7.694964409E0,-8.690952063E-1
2.822450468E0,-7.165845871E0,-8.104372978E0,-9.385270476E-1
2.832460237E0,-7.558494568E0,-8.346187592E0,-1.180341482E0
2.842439391E0,-8.101978302E0,-8.403648376E0,-1.479616642E0
2.852449237E0,-8.772355080E0,-8.401253700E0,-1.889025092E0
2.862459006E0,-9.421183586E0,-8.228871346E0,-2.219424963E0
2.872438160E0,-1.027830791E1,-8.264783859E0,-2.652775526E0
2.882448007E0,-1.120725822E1,-8.331821442E0,-3.095702887E0
2.892457776E0,-1.215296745E1,-8.525752068E0,-3.598485231E0
2.902437160E0,-1.274194145E1,-8.772355080E0,-3.974374771E0
2.912446776E0,-1.317289734E1,-8.944737434E0,-4.295197964E0
2.922456545E0,-1.336682796E1,-8.978256226E0,-4.776432514E0
2.932435699E0,-1.341471195E1,-8.791508675E0,-5.250484467E0
2.942445545E0,-1.327824306E1,-8.286332130E0,-5.480327606E0
2.952455391E0,-1.281616211E1,-7.601590633E0,-5.604825974E0
2.962434699E0,-1.210747814E1,-6.624756336E0,-5.389348030E0
2.972444314E0,-1.139640045E1,-5.755661011E0,-5.046977043E0
2.982454161E0,-1.079306126E1,-5.099649429E0,-4.924872875E0
2.992433238E0,-1.040998936E1,-4.853046894E0,-4.817133904E0
3.002443084E0,-1.020408726E1,-4.884171486E0,-4.601655483E0
3.012452930E0,-9.969455719E0,-4.900930882E0,-4.314351559E0
3.022462699E0,-9.856928825E0,-5.030217648E0,-4.156333923E0
3.032441853E0,-9.842563629E0,-5.295974255E0,-3.993528366E0
3.042451699E0,-9.684545517E0,-5.544970989E0,-3.780444384E0
3.052461468E0,-9.706093788E0,-5.853823185E0,-3.634398222E0
3.062440622E0,-9.744400978E0,-6.313509941E0,-3.596091032E0
3.072450469E0,-9.746794701E0,-6.677428722E0,-3.526659012E0
3.082460238E0,-9.768342972E0,-7.026981831E0,-3.469198227E0
3.092439392E0,-9.727641106E0,-7.230489254E0,-3.373430252E0
3.102449238E0,-9.488221169E0,-7.117961884E0,-3.117250681E0
3.112459007E0,-8.975862503E0,-6.809109688E0,-2.738966703E0
3.122438161E0,-8.370129585E0,-6.433219910E0,-2.612074137E0
3.132448007E0,-7.819462776E0,-5.966350555E0,-2.164358377E0
3.142457776E0,-7.230489254E0,-5.652710438E0,-1.812410712E0
3.152437161E0,-6.550535679E0,-5.475539207E0,-1.496376038E0
3.162446776E0,-5.882553577E0,-5.346252441E0,-1.446097851E0
3.172456623E0,-5.408501625E0,-5.272032261E0,-1.369483352E0
3.182435930E0,-4.905719280E0,-5.260061264E0,-1.340752959E0
3.192445546E0,-4.795586109E0,-5.305551052E0,-1.264138460E0
3.202455315E0,-4.716577530E0,-5.549759388E0,-1.120486379E0
3.212434700E0,-4.266467571E0,-5.892130375E0,-1.007958889E0
3.222444315E0,-3.742137194E0,-5.968744755E0,-5.865794420E-1
3.232454161E0,-3.189076662E0,-5.846640587E0,-8.834604025E-1
3.242433238E0,-3.258508444E0,-6.248866558E0,-1.046266198E0
3.252443084E0,-3.816357613E0,-6.382941723E0,-1.501164436E0
3.262452931E0,-4.096478939E0,-6.768408298E0,-1.580173135E0
3.272462700E0,-4.137180328E0,-6.859387875E0,-1.395819545E0
3.282441854E0,-4.122815132E0,-6.950367451E0,-1.283292055E0
3.292451700E0,-4.414907932E0,-7.117961884E0,-1.115697980E0
3.302461469E0,-4.819528103E0,-7.309497833E0,-1.113303781E0
3.312440623E0,-5.269638062E0,-7.532158375E0,-1.168370485E0
3.322450469E0,-5.901707172E0,-7.805097580E0,-1.142034173E0
3.332460238E0,-6.356605530E0,-8.020575523E0,-9.744400978E-1
3.342439392E0,-6.677428722E0,-8.113949776E0,-7.829039693E-1
3.352449238E0,-7.352593422E0,-8.398859978E0,-7.829039693E-1
3.362459008E0,-7.884106159E0,-8.801085472E0,-1.051054597E0
3.372438162E0,-8.185775757E0,-9.339780807E0,-1.496376038E0
3.382448008E0,-8.204929352E0,-9.909601212E0,-1.893813491E0
3.392457777E0,-7.920019150E0,-1.033816338E1,-2.068590164E0
3.402437162E0,-7.551311970E0,-1.086249352E1,-2.171540976E0
3.412446777E0,-7.036558628E0,-1.112346077E1,-2.099714994E0
