"Time (s)","Illuminance (lx)"
1.015015400E-2,5.100000000E1
4.737246160E-1,5.000000000E1
6.328346930E-1,5.100000000E1
6.728888470E-1,5.700000000E1
7.130621550E-1,6.100000000E1
7.528710780E-1,6.300000000E1
9.128826940E-1,6.100000000E1
9.530744630E-1,5.400000000E1
9.928079250E-1,4.800000000E1
1.033664233E0,4.500000000E1
1.072862695E0,4.400000000E1
1.112832541E0,4.300000000E1
1.152835079E0,4.200000000E1
1.192844233E0,4.100000000E1
1.273732003E0,3.800000000E1
1.312982387E0,3.400000000E1
1.352854080E0,2.900000000E1
1.392873465E0,2.400000000E1
1.432990157E0,2.000000000E1
1.472842157E0,1.900000000E1
1.632989850E0,2.000000000E1
1.673061234E0,2.200000000E1
1.712837235E0,2.400000000E1
1.753650465E0,2.600000000E1
1.792868619E0,2.700000000E1
1.832868312E0,2.900000000E1
1.873073466E0,3.000000000E1
2.032857235E0,2.800000000E1
2.072846082E0,2.600000000E1
2.112880851E0,2.400000000E1
2.153051697E0,2.300000000E1
2.193000620E0,2.200000000E1
2.233607390E0,2.100000000E1
2.592927698E0,2.200000000E1
2.632959006E0,2.300000000E1
2.672856929E0,2.400000000E1
2.793114391E0,2.300000000E1
2.832879314E0,2.200000000E1
2.872967930E0,2.000000000E1
2.912855007E0,1.900000000E1
3.032956315E0,2.100000000E1
3.072960853E0,2.300000000E1
3.112867007E0,2.400000000E1
3.232872007E0,2.500000000E1
3.353041162E0,2.400000000E1
3.472856316E0,2.500000000E1
3.632838778E0,2.600000000E1
3.752843932E0,2.700000000E1
3.792866086E0,2.800000000E1
3.952857240E0,2.900000000E1
3.992817548E0,3.000000000E1
4.153717548E0,2.900000000E1
4.192869471E0,2.700000000E1
4.232993241E0,2.400000000E1
4.272857471E0,2.200000000E1
4.433008549E0,2.300000000E1
4.512934087E0,2.500000000E1
4.552868318E0,2.600000000E1
4.592937472E0,2.700000000E1
4.752894088E0,2.500000000E1
4.792929242E0,2.400000000E1
4.832848550E0,2.300000000E1
4.873489550E0,2.200000000E1
5.032866473E0,2.300000000E1
5.232861474E0,2.200000000E1
