"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.664395390E-1,-1.398881435E0,2.808758497E0,-3.011565804E-1
7.764280780E-1,-1.679879427E0,1.806939363E0,2.370157093E-1
7.864604630E-1,-1.905899525E0,1.282817006E0,1.175304770E0
7.964477700E-1,-2.164906502E0,9.169087410E-1,1.604743004E0
8.064515400E-1,-2.425745964E0,7.250970602E-1,1.447139740E0
8.164364630E-1,-2.588846922E0,3.475823104E-1,1.312749386E0
8.264690010E-1,-2.513710499E0,6.108652335E-3,1.048244715E0
8.364256930E-1,-2.158186913E0,-1.258382350E-1,7.128797174E-1
8.464579240E-1,-1.221119642E0,1.362229437E-1,5.601634383E-1
8.564453090E-1,7.880161703E-2,6.951646209E-1,4.569272101E-1
8.664469240E-1,7.910705209E-1,8.081747293E-1,4.190535545E-1
8.764342320E-1,1.195463300E0,1.226617455E0,3.066543639E-1
8.864644630E-1,1.356731653E0,1.432479024E0,1.148426682E-1
8.964231550E-1,1.381166339E0,1.421483397E0,-1.301143020E-1
9.064533860E-1,1.426370382E0,1.351844788E0,-4.312708676E-1
9.164428470E-1,1.436755061E0,1.362229466E0,-7.104362845E-1
9.264444630E-1,1.444696307E0,1.165530920E0,-8.735373020E-1
9.364317710E-1,1.638340592E0,-6.902777404E-2,-1.050688267E0
9.464626170E-1,2.010357618E0,-1.490511179E0,-1.048855662E0
9.564207710E-1,2.601064205E0,-2.497217178E0,-8.161159754E-1
9.664539240E-1,3.258355141E0,-2.951700926E0,-5.638286471E-1
9.764403860E-1,3.726278067E0,-3.415347576E0,-4.147774875E-1
9.864428480E-1,3.861890078E0,-3.816075087E0,-3.897320330E-1
9.964293090E-1,3.575394392E0,-4.161824703E0,-3.530801237E-1
1.006459540E0,2.824029922E0,-4.819116116E0,-3.084869385E-1
1.016418309E0,1.707368374E0,-5.894238949E0,-4.410447180E-1
1.026450848E0,5.186246037E-1,-7.115358353E0,-1.062905490E-1
1.036437925E0,-3.744603992E-1,-8.672453880E0,9.138544202E-1
1.046470232E0,-1.178359032E0,-1.050688267E1,1.643227458E0
1.056426848E0,-1.266323686E0,-1.124969482E1,2.293188095E0
1.066459232E0,-7.947356701E-1,-1.100595951E1,2.787378073E0
1.076446309E0,1.472185254E-1,-1.040425682E1,3.040887117E0
1.086448386E0,1.400714040E0,-9.651670456E0,3.263853073E0
1.096435463E0,2.471560717E0,-8.874650002E0,3.573561668E0
1.106465694E0,2.975524664E0,-8.221024513E0,3.994447947E0
1.116424386E0,2.889392614E0,-7.845342159E0,4.483139992E0
1.126454617E0,2.477669477E0,-7.876496315E0,4.959003925E0
