"event","experiment time","system time","system time text"
"START",0.000000000E0,1715947177.027,"2024-05-17 13:59:37.027 UTC+02:00"
"PAUSE",4.884820209E2,1715947665.509,"2024-05-17 14:07:45.509 UTC+02:00"
"START",4.884820209E2,1715947800.494,"2024-05-17 14:10:00.494 UTC+02:00"
"PAUSE",7.449435533E2,1715948056.956,"2024-05-17 14:14:16.956 UTC+02:00"
"START",7.449435533E2,1715948067.114,"2024-05-17 14:14:27.114 UTC+02:00"
"PAUSE",7.809123250E2,1715948103.083,"2024-05-17 14:15:03.083 UTC+02:00"
