"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.625251550E-1,1.389718413E0,2.711019993E0,3.032335043E0
7.725587710E-1,1.155757070E0,2.594955444E0,3.162449360E0
7.825141550E-1,7.214318514E-1,1.819767594E0,3.064100027E0
7.925479250E-1,3.396410644E-1,1.514334917E0,2.809980154E0
8.025337710E-1,-6.108652451E-4,1.456913590E0,2.441628456E0
8.125362320E-1,-2.266310006E-1,1.842980504E0,1.981646895E0
8.225227710E-1,-2.840523422E-1,1.970040441E0,1.384831548E0
8.325553860E-1,-1.808161139E-1,1.511891484E0,6.206390858E-1
8.425116940E-1,2.443460934E-2,1.207069755E0,-1.154535338E-1
8.525452320E-1,1.881465018E-1,1.312138557E0,-5.894849896E-1
8.625313090E-1,2.785545588E-1,1.646281838E0,-7.153232098E-1
8.725334630E-1,3.084869385E-1,2.072054863E0,-6.041457057E-1
8.825205400E-1,3.604104817E-1,2.702467918E0,-4.007275999E-1
8.925537710E-1,4.746423066E-1,3.416569233E0,-2.565633953E-1
9.025094630E-1,6.579018831E-1,4.183205128E0,-3.036000133E-1
9.125426940E-1,9.156870246E-1,4.889365196E0,-5.082398653E-1
9.225288480E-1,1.153313637E0,5.342627525E0,-7.318165898E-1
9.325292330E-1,1.288314819E0,5.648671150E0,-8.753699064E-1
9.425178480E-1,1.381777167E0,6.087882996E0,-9.847147465E-1
9.525483100E-1,1.472796082E0,6.467230320E0,-1.086118460E0
9.625070020E-1,1.648725271E0,6.913161755E0,-1.280984402E0
9.725396940E-1,1.869858503E0,7.363369465E0,-1.539380431E0
9.825254640E-1,2.034181356E0,7.674911022E0,-1.811826348E0
9.925258480E-1,2.095878601E0,7.716449738E0,-2.101376534E0
1.002515002E0,2.038457394E0,7.442781925E0,-2.442850113E0
1.012545233E0,1.859473825E0,7.006013393E0,-2.743395805E0
1.022534387E0,1.653612256E0,6.550308228E0,-2.806314945E0
1.032534464E0,1.550375938E0,6.075054646E0,-2.883894920E0
1.042523387E0,1.423316002E0,5.702426910E0,-2.916270733E0
1.052554079E0,1.403157473E0,5.305364609E0,-2.951700926E0
1.062512541E0,1.425759435E0,4.801400661E0,-3.015230894E0
1.072543002E0,1.384220600E0,4.387845039E0,-3.098919392E0
1.082532541E0,1.361618638E0,4.157548904E0,-3.285233259E0
1.092534772E0,1.378722906E0,3.983452320E0,-3.651141644E0
1.102521464E0,1.391551018E0,3.797749281E0,-4.039041042E0
1.112552310E0,1.472185254E0,3.557679176E0,-4.269337177E0
1.122510464E0,1.544267297E0,3.344487190E0,-4.362799644E0
1.132541464E0,1.562593341E0,3.097086906E0,-4.484972477E0
1.142530079E0,1.536936998E0,2.738508940E0,-4.697553635E0
1.152530387E0,1.464854836E0,2.350609541E0,-4.926017284E0
1.162519079E0,1.371392488E0,1.968818665E0,-5.136155128E0
1.172550079E0,1.257160664E0,1.591914773E0,-5.304142952E0
1.182508233E0,1.125213742E0,1.220508814E0,-5.361564159E0
1.192538772E0,9.987646937E-1,9.291260242E-1,-5.285817146E0
1.202527618E0,9.114109278E-1,6.914994717E-1,-5.142263412E0
1.212527926E0,8.503243923E-1,5.253441334E-1,-4.930293560E0
1.222516618E0,8.051204085E-1,3.903428912E-1,-4.596760750E0
1.232547387E0,6.988298297E-1,2.932153046E-1,-3.907094002E0
1.242505772E0,5.632177591E-1,3.255911767E-1,-3.400686741E0
1.252536310E0,3.946189582E-1,3.756821156E-1,-2.912605524E0
1.262525157E0,2.131919712E-1,4.013384581E-1,-2.459954262E0
1.272555926E0,3.604105115E-2,4.056145251E-1,-2.061059237E0
1.282514157E0,-1.185078546E-1,3.341432810E-1,-1.731192112E0
1.292545157E0,-2.394591719E-1,2.064724565E-1,-1.470963478E0
1.302533772E0,-3.176499307E-1,2.321287990E-2,-1.299921274E0
1.312534080E0,-3.848451078E-1,-1.973094791E-1,-1.210124016E0
1.322522772E0,-4.605923891E-1,-4.007275999E-1,-1.174693823E0
1.332553541E0,-5.424483418E-1,-5.400048494E-1,-1.171028733E0
1.342511695E0,-6.200281978E-1,-6.743952036E-1,-1.191187263E0
1.352544618E0,-6.914994717E-1,-7.880161405E-1,-1.227839112E0
1.362531311E0,-7.623597980E-1,-8.668177724E-1,-1.268156290E0
1.372533772E0,-8.167268038E-1,-9.205739498E-1,-1.304197311E0
1.382520234E0,-8.442157507E-1,-9.303477407E-1,-1.330464482E0
1.392553157E0,-8.521569967E-1,-9.138544202E-1,-1.339627504E0
1.402509234E0,-8.552113175E-1,-8.668177724E-1,-1.342070937E0
1.412573157E0,-8.588765264E-1,-7.715228200E-1,-1.362840414E0
1.422528849E0,-8.820894361E-1,-6.774495840E-1,-1.385442376E0
1.432528926E0,-9.303477407E-1,-6.175847650E-1,-1.403768301E0
1.442517849E0,-9.896016717E-1,-5.907067060E-1,-1.423926830E0
1.452548542E0,-1.030529618E0,-6.291912198E-1,-1.401935697E0
1.462506772E0,-1.047023058E0,-7.263187766E-1,-1.301142931E0
1.472537542E0,-1.056796908E0,-8.827002645E-1,-1.112996459E0
1.482526388E0,-1.102000952E0,-1.040303469E0,-8.631525636E-1
1.492526465E0,-1.212567568E0,-1.123992085E0,-5.870414972E-1
1.502515388E0,-1.356731653E0,-1.133154988E0,-3.152064681E-1
1.512545849E0,-1.489900351E0,-1.160033107E0,3.115412779E-2
1.522535003E0,-1.484402537E0,-1.207069755E0,2.211332172E-1
1.532535080E0,-1.417818189E0,-1.262047648E0,4.361577928E-1
