"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.270094293E0,5.230850170E1,4.952420600E0,6.844185676E-1,NaN,NaN,1.418099976E1,1.000000000E0
2.146509429E1,5.230847800E1,4.952481400E0,6.844192812E-1,NaN,NaN,1.146800041E1,1.000000000E0
4.145709429E1,5.230843130E1,4.952387800E0,1.084301228E0,NaN,NaN,1.405700016E1,1.000000000E0
6.141409429E1,5.230820870E1,4.951964400E0,8.837434043E-1,NaN,NaN,1.149499989E1,1.000000000E0
6.932609429E1,5.230836000E1,4.952170000E0,2.188407315E1,0.000000000E0,0.000000000E0,9.699999809E0,1.701999969E2
7.032609429E1,5.230840167E1,4.952090000E0,-6.115912857E0,0.000000000E0,0.000000000E0,1.010000038E1,1.660000000E2
7.132609429E1,5.230838333E1,4.952073333E0,-2.331594842E1,0.000000000E0,0.000000000E0,1.050000000E1,1.543000031E2
7.232609429E1,5.230836333E1,4.952056667E0,-2.741598635E1,0.000000000E0,0.000000000E0,1.039999962E1,1.305000000E2
7.332609429E1,5.230821167E1,4.952060000E0,-6.116200466E0,0.000000000E0,0.000000000E0,9.500000000E0,1.159000015E2
7.432609429E1,5.230822500E1,4.952015000E0,-1.041620699E1,0.000000000E0,0.000000000E0,9.100000381E0,1.104000015E2
7.532609429E1,5.230818500E1,4.951936667E0,8.283691641E0,0.000000000E0,0.000000000E0,8.699999809E0,9.509999847E1
7.632609429E1,5.230805000E1,4.951756667E0,2.588339734E1,1.065474972E-1,1.666399994E2,8.000000000E0,7.709999847E1
7.732609429E1,5.230813000E1,4.951868333E0,2.518357457E1,2.975094318E-1,1.891999969E2,6.199999809E0,5.970000076E1
7.832609429E1,5.230819833E1,4.951940000E0,2.138371252E1,2.774352729E-1,1.679700012E2,4.500000000E0,5.290000153E1
7.932609429E1,5.230819833E1,4.951968333E0,2.278372858E1,4.555291533E-1,1.589700012E2,3.299999952E0,4.800000000E1
8.032609429E1,5.230820000E1,4.951955000E0,2.598372340E1,5.342816710E-1,1.747299957E2,3.000000000E0,4.759999847E1
8.132609429E1,5.230820167E1,4.951941667E0,2.508371821E1,5.713416934E-1,1.716699982E2,2.799999952E0,4.779999924E1
8.232609429E1,5.230819000E1,4.951931667E0,2.608369593E1,8.086286187E-1,1.581499939E2,2.700000048E0,4.770000076E1
8.332609429E1,5.230818333E1,4.951935000E0,2.548368832E1,1.045400858E0,1.581999969E2,2.599999905E0,4.800000000E1
8.432609429E1,5.230816667E1,4.951941667E0,2.518366836E1,1.192096710E0,1.593200073E2,2.500000000E0,4.959999847E1
8.532609429E1,5.230815167E1,4.951938333E0,2.488364511E1,1.120035529E0,1.606799927E2,2.500000000E0,5.070000076E1
8.632609429E1,5.230814167E1,4.951930000E0,2.518362615E1,1.086578608E0,1.610099945E2,2.500000000E0,5.000000000E1
8.732609429E1,5.230813000E1,4.951923333E0,2.528360575E1,1.151433587E0,1.591600037E2,2.500000000E0,5.020000076E1
8.832609429E1,5.230812167E1,4.951918333E0,2.528359105E1,1.113858938E0,1.687400055E2,2.500000000E0,4.970000076E1
8.932609429E1,5.230810333E1,4.951908333E0,2.518355927E1,9.192938805E-1,1.529299927E2,2.500000000E0,4.520000076E1
9.032609429E1,5.230809000E1,4.951908333E0,2.468354028E1,1.016061664E0,1.340800018E2,2.500000000E0,4.379999924E1
