"Time (s)","Illuminance (lx)"
7.221380832E1,3.000000000E0
7.225390516E1,2.000000000E0
7.237371201E1,1.000000000E0
7.257373632E1,0.000000000E0
7.269388555E1,2.000000000E0
7.273374024E1,3.000000000E0
7.277375108E1,5.000000000E0
7.281386055E1,7.000000000E0
7.341373909E1,6.000000000E0
7.373375540E1,7.000000000E0
7.633374824E1,8.000000000E0
7.689377254E1,7.000000000E0
8.562055294E1,6.000000000E0
8.566006586E1,7.000000000E0
8.761988332E1,6.000000000E0
8.765987216E1,7.000000000E0
8.773988701E1,6.000000000E0
8.794004732E1,7.000000000E0
8.853985378E1,6.000000000E0
8.865991893E1,7.000000000E0
8.933989224E1,6.000000000E0
8.937983963E1,7.000000000E0
8.982013340E1,6.000000000E0
8.989986509E1,7.000000000E0
9.090055871E1,6.000000000E0
9.109988001E1,7.000000000E0
9.218011655E1,6.000000000E0
9.249989286E1,7.000000000E0
1.030605006E2,8.000000000E0
1.031803012E2,7.000000000E0
1.036209898E2,8.000000000E0
1.037403446E2,7.000000000E0
1.156598704E2,6.000000000E0
1.160599200E2,7.000000000E0
1.188599098E2,8.000000000E0
1.190999200E2,7.000000000E0
1.236198138E2,8.000000000E0
1.237399762E2,7.000000000E0
1.268600805E2,8.000000000E0
1.269798514E2,7.000000000E0
1.312998511E2,8.000000000E0
1.314200317E2,7.000000000E0
1.361798873E2,6.000000000E0
1.369402942E2,7.000000000E0
1.404603273E2,6.000000000E0
1.407005424E2,7.000000000E0
1.447800902E2,8.000000000E0
1.448198536E2,7.000000000E0
1.575798846E2,8.000000000E0
1.576998911E2,7.000000000E0
1.585398874E2,8.000000000E0
1.587001742E2,7.000000000E0
1.612998929E2,8.000000000E0
1.614607299E2,7.000000000E0
1.666200847E2,6.000000000E0
1.666601659E2,7.000000000E0
1.690199028E2,8.000000000E0
1.691799309E2,7.000000000E0
1.718999157E2,8.000000000E0
1.721800979E2,7.000000000E0
1.735400631E2,8.000000000E0
1.738201117E2,7.000000000E0
1.745798822E2,8.000000000E0
1.747800884E2,7.000000000E0
1.759000309E2,8.000000000E0
1.761005127E2,7.000000000E0
1.768598877E2,8.000000000E0
1.772598945E2,7.000000000E0
1.786998785E2,8.000000000E0
1.789398806E2,7.000000000E0
1.805798812E2,8.000000000E0
1.807799172E2,7.000000000E0
1.841798753E2,8.000000000E0
1.843798854E2,7.000000000E0
1.855000975E2,6.000000000E0
1.896598522E2,7.000000000E0
1.919409323E2,8.000000000E0
1.919802935E2,7.000000000E0
1.920603399E2,8.000000000E0
1.921809824E2,7.000000000E0
1.937005077E2,8.000000000E0
1.938204631E2,7.000000000E0
1.955803289E2,8.000000000E0
1.957812276E2,7.000000000E0
1.960603043E2,8.000000000E0
1.961803009E2,7.000000000E0
1.966602840E2,8.000000000E0
1.967799138E2,7.000000000E0
1.975798976E2,8.000000000E0
1.980998708E2,7.000000000E0
1.981398778E2,8.000000000E0
1.981807514E2,7.000000000E0
1.983398796E2,8.000000000E0
1.985398855E2,7.000000000E0
1.990598501E2,8.000000000E0
1.992998304E2,7.000000000E0
2.010606335E2,8.000000000E0
2.011400886E2,7.000000000E0
2.011799059E2,8.000000000E0
2.012598791E2,7.000000000E0
2.019397986E2,8.000000000E0
2.021799579E2,7.000000000E0
2.025798146E2,8.000000000E0
