"event","experiment time","system time","system time text"
"START",0.000000000E0,1717245805.846,"2024-06-01 14:43:25.846 UTC+02:00"
"PAUSE",1.174962181E3,1717246980.808,"2024-06-01 15:03:00.808 UTC+02:00"
