"event","experiment time","system time","system time text"
"START",0.000000000E0,1715948352.397,"2024-05-17 14:19:12.397 UTC+02:00"
"PAUSE",6.315310392E2,1715948983.928,"2024-05-17 14:29:43.928 UTC+02:00"
